Capital expenditure,$ Total,$ Accumulated1,year,school_id,school_name,$ Last 3 years1
Australian government capital expenditure,3955,31229,2016,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,9372,33645,2016,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2016,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2016,44461,"Kensington Primary School, Kensington, VIC",
Other,0,14154,2016,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,13327,79028,2016,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,33465,179629,2019,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,104673,963458,2019,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2019,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2019,44461,"Kensington Primary School, Kensington, VIC",
Other,0,0,2019,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,138138,1143087,2019,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,21851,312786,2017,50217,"Newport Gardens Primary School, Newport, VIC",
State / territory government capital expenditure,136339,664629,2017,50217,"Newport Gardens Primary School, Newport, VIC",
New school loans,0,0,2017,50217,"Newport Gardens Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2017,50217,"Newport Gardens Primary School, Newport, VIC",
Other,23427,105953,2017,50217,"Newport Gardens Primary School, Newport, VIC",
Total capital expenditure,181617,1083368,2017,50217,"Newport Gardens Primary School, Newport, VIC",
Australian government capital expenditure,25075,127283,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC",
State / territory government capital expenditure,75453,391678,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC",
New school loans,0,0,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Income allocated to current capital projects,0,0,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Other,0,44372,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Total capital expenditure,100528,563333,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Australian government capital expenditure,375518,461012,2017,44224,"Albert Park Primary School, Albert Park, VIC",
State / territory government capital expenditure,2343085,2498652,2017,44224,"Albert Park Primary School, Albert Park, VIC",
New school loans,0,0,2017,44224,"Albert Park Primary School, Albert Park, VIC",
Income allocated to current capital projects,0,0,2017,44224,"Albert Park Primary School, Albert Park, VIC",
Other,5761,19926,2017,44224,"Albert Park Primary School, Albert Park, VIC",
Total capital expenditure,2724364,2979590,2017,44224,"Albert Park Primary School, Albert Park, VIC",
Australian government capital expenditure,20871,63472,2019,44843,"Wembley Primary School, Yarraville, VIC",
State / territory government capital expenditure,65279,243306,2019,44843,"Wembley Primary School, Yarraville, VIC",
New school loans,0,0,2019,44843,"Wembley Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2019,44843,"Wembley Primary School, Yarraville, VIC",
Other,0,7000,2019,44843,"Wembley Primary School, Yarraville, VIC",
Total capital expenditure,86150,313778,2019,44843,"Wembley Primary School, Yarraville, VIC",
Australian government capital expenditure,0,889427,2019,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
State / territory government capital expenditure,0,3553721,2019,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
New school loans,0,0,2019,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Income allocated to current capital projects,0,0,2019,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Other,0,11000,2019,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Total capital expenditure,0,4454148,2019,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Australian government capital expenditure,224976,350902,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC",
State / territory government capital expenditure,888165,1377545,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC",
New school loans,0,0,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Income allocated to current capital projects,0,0,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Other,0,53272,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Total capital expenditure,1113141,1781719,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Australian government capital expenditure,378413,486277,2021,44664,"Footscray West Primary School, West Footscray, VIC",
State / territory government capital expenditure,1493907,1915250,2021,44664,"Footscray West Primary School, West Footscray, VIC",
New school loans,0,0,2021,44664,"Footscray West Primary School, West Footscray, VIC",
Income allocated to current capital projects,0,0,2021,44664,"Footscray West Primary School, West Footscray, VIC",
Other,0,0,2021,44664,"Footscray West Primary School, West Footscray, VIC",
Total capital expenditure,1872320,2401527,2021,44664,"Footscray West Primary School, West Footscray, VIC",
Australian government capital expenditure,56256,88276,2019,44378,"Footscray City Primary School, Footscray, VIC",
State / territory government capital expenditure,175958,302248,2019,44378,"Footscray City Primary School, Footscray, VIC",
New school loans,0,0,2019,44378,"Footscray City Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2019,44378,"Footscray City Primary School, Footscray, VIC",
Other,5330,26194,2019,44378,"Footscray City Primary School, Footscray, VIC",
Total capital expenditure,237544,416718,2019,44378,"Footscray City Primary School, Footscray, VIC",
Australian government capital expenditure,0,0,2021,45797,"St John's School, Footscray, VIC",
State / territory government capital expenditure,0,0,2021,45797,"St John's School, Footscray, VIC",
New school loans,0,0,2021,45797,"St John's School, Footscray, VIC",
Income allocated to current capital projects,209748,582425,2021,45797,"St John's School, Footscray, VIC",
Other,42082,697563,2021,45797,"St John's School, Footscray, VIC",
Total capital expenditure,251830,1279988,2021,45797,"St John's School, Footscray, VIC",
Australian government capital expenditure,17351,71923,2019,44714,"Footscray North Primary School, Footscray, VIC",
State / territory government capital expenditure,54270,350740,2019,44714,"Footscray North Primary School, Footscray, VIC",
New school loans,0,0,2019,44714,"Footscray North Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2019,44714,"Footscray North Primary School, Footscray, VIC",
Other,0,15530,2019,44714,"Footscray North Primary School, Footscray, VIC",
Total capital expenditure,71621,438193,2019,44714,"Footscray North Primary School, Footscray, VIC",
Australian government capital expenditure,41966,126087,2021,44044,"Newport Lakes Primary School, Newport, VIC",
State / territory government capital expenditure,165674,440444,2021,44044,"Newport Lakes Primary School, Newport, VIC",
New school loans,0,0,2021,44044,"Newport Lakes Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2021,44044,"Newport Lakes Primary School, Newport, VIC",
Other,0,13771,2021,44044,"Newport Lakes Primary School, Newport, VIC",
Total capital expenditure,207640,580302,2021,44044,"Newport Lakes Primary School, Newport, VIC",
Australian government capital expenditure,116595,210360,2021,44224,"Albert Park Primary School, Albert Park, VIC",
State / territory government capital expenditure,460296,761978,2021,44224,"Albert Park Primary School, Albert Park, VIC",
New school loans,0,0,2021,44224,"Albert Park Primary School, Albert Park, VIC",
Income allocated to current capital projects,0,0,2021,44224,"Albert Park Primary School, Albert Park, VIC",
Other,0,27567,2021,44224,"Albert Park Primary School, Albert Park, VIC",
Total capital expenditure,576891,999905,2021,44224,"Albert Park Primary School, Albert Park, VIC",
Australian government capital expenditure,39503,61382,2018,45517,"Fitzroy High School, Fitzroy North, VIC",
State / territory government capital expenditure,118870,220666,2018,45517,"Fitzroy High School, Fitzroy North, VIC",
New school loans,0,0,2018,45517,"Fitzroy High School, Fitzroy North, VIC",
Income allocated to current capital projects,0,0,2018,45517,"Fitzroy High School, Fitzroy North, VIC",
Other,17563,23063,2018,45517,"Fitzroy High School, Fitzroy North, VIC",
Total capital expenditure,175936,305111,2018,45517,"Fitzroy High School, Fitzroy North, VIC",
Australian government capital expenditure,45285,79453,2021,50217,"Newport Gardens Primary School, Newport, VIC",
State / territory government capital expenditure,178776,297329,2021,50217,"Newport Gardens Primary School, Newport, VIC",
New school loans,0,0,2021,50217,"Newport Gardens Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2021,50217,"Newport Gardens Primary School, Newport, VIC",
Other,23350,30340,2021,50217,"Newport Gardens Primary School, Newport, VIC",
Total capital expenditure,247411,407122,2021,50217,"Newport Gardens Primary School, Newport, VIC",
Australian government capital expenditure,65414,115353,2020,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,267179,421424,2020,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2020,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2020,44461,"Kensington Primary School, Kensington, VIC",
Other,0,0,2020,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,332593,536777,2020,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,32795,61594,2017,44044,"Newport Lakes Primary School, Newport, VIC",
State / territory government capital expenditure,204626,254629,2017,44044,"Newport Lakes Primary School, Newport, VIC",
New school loans,0,0,2017,44044,"Newport Lakes Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2017,44044,"Newport Lakes Primary School, Newport, VIC",
Other,27200,33983,2017,44044,"Newport Lakes Primary School, Newport, VIC",
Total capital expenditure,264621,350206,2017,44044,"Newport Lakes Primary School, Newport, VIC",
Australian government capital expenditure,0,0,2017,45797,"St John's School, Footscray, VIC",
State / territory government capital expenditure,0,0,2017,45797,"St John's School, Footscray, VIC",
New school loans,0,0,2017,45797,"St John's School, Footscray, VIC",
Income allocated to current capital projects,123105,396212,2017,45797,"St John's School, Footscray, VIC",
Other,3265,158849,2017,45797,"St John's School, Footscray, VIC",
Total capital expenditure,126370,555061,2017,45797,"St John's School, Footscray, VIC",
Australian government capital expenditure,195325,0,2019,52695,"South Melbourne Park Primary School, Albert Park, VIC",
State / territory government capital expenditure,610938,0,2019,52695,"South Melbourne Park Primary School, Albert Park, VIC",
New school loans,0,0,2019,52695,"South Melbourne Park Primary School, Albert Park, VIC",
Income allocated to current capital projects,0,0,2019,52695,"South Melbourne Park Primary School, Albert Park, VIC",
Other,0,0,2019,52695,"South Melbourne Park Primary School, Albert Park, VIC",
Total capital expenditure,806263,0,2019,52695,"South Melbourne Park Primary School, Albert Park, VIC",
Australian government capital expenditure,42721,117257,2017,44664,"Footscray West Primary School, West Footscray, VIC",
State / territory government capital expenditure,266564,432329,2017,44664,"Footscray West Primary School, West Footscray, VIC",
New school loans,0,0,2017,44664,"Footscray West Primary School, West Footscray, VIC",
Income allocated to current capital projects,0,0,2017,44664,"Footscray West Primary School, West Footscray, VIC",
Other,0,0,2017,44664,"Footscray West Primary School, West Footscray, VIC",
